Time,Channel A
(s),(V)

-2.50014997,-1.06057930
-2.50009997,-1.06057930
-2.50004997,-1.06057930
-2.49999997,-1.06057930
-2.49994997,-1.06057930
-2.49989997,-1.06057930
-2.49984997,-1.06057930
-2.49979997,-1.06057930
-2.49974997,-1.06057930
-2.49969997,-1.06057930
-2.49964997,-1.06057930
-2.49959997,-1.06057930
-2.49954997,-1.06057930
-2.49949997,-1.06057930
-2.49944997,-1.06057930
-2.49939997,-1.06057930
-2.49934997,-1.06057930
-2.49929997,-1.06057930
-2.49924997,-1.06057930
-2.49919997,-1.06057930
-2.49914997,-1.06057930
-2.49909997,-1.06057930
-2.49904997,-1.06057930
-2.49899997,-1.06057930
-2.49894997,-1.06057930
-2.49889997,-1.06057930
-2.49884997,-1.06057930
-2.49879997,-1.06057930
-2.49874997,-1.06057930
-2.49869997,-1.06057930
-2.49864997,-1.06057930
-2.49859997,-1.06057930
-2.49854997,-1.06057930
-2.49849997,-1.07882929
-2.49844997,-1.06057930
-2.49839997,-1.06057930
-2.49834997,-1.06057930
-2.49829997,-1.06057930
-2.49824997,-1.07882929
-2.49819997,-1.06057930
-2.49814997,-1.06057930
-2.49809997,-1.06057930
-2.49804997,-1.06057930
-2.49799997,-1.06057930
-2.49794997,-1.06057930
-2.49789997,-1.06057930
-2.49784997,-1.06057930
-2.49779997,-1.07882929
-2.49774997,-1.06057930
-2.49769997,-1.06057930
-2.49764997,-1.06057930
-2.49759997,-1.06057930
-2.49754997,-1.06057930
-2.49749997,-1.06057930
-2.49744997,-1.06057930
-2.49739997,-1.06057930
-2.49734997,-1.06057930
-2.49729997,-1.06057930
-2.49724997,-1.06057930
-2.49719997,-1.06057930
-2.49714997,-1.06057930
-2.49709997,-1.06057930
-2.49704997,-1.06057930
-2.49699997,-1.06057930
-2.49694997,-1.07882929
-2.49689997,-1.06057930
-2.49684997,-1.07882929
-2.49679997,-1.06057930
-2.49674997,-1.07882929
-2.49669997,-1.06057930
-2.49664997,-1.06057930
-2.49659997,-1.06057930
-2.49654997,-1.07882929
-2.49649997,-1.06057930
-2.49644997,-1.06057930
-2.49639997,-1.06057930
-2.49634997,-1.06057930
-2.49629997,-1.06057930
-2.49624997,-1.07882929
-2.49619997,-1.06057930
-2.49614997,-1.07882929
-2.49609997,-1.06057930
-2.49604997,-1.07882929
-2.49599997,-1.06057930
-2.49594997,-1.06057930
-2.49589997,-1.06057930
-2.49584997,-1.06057930
-2.49579997,-1.06057930
-2.49574997,-1.06057930
-2.49569997,-1.06057930
-2.49564997,-1.06057930
-2.49559997,-1.06057930
-2.49554997,-1.06057930
-2.49549997,-1.06057930
-2.49544997,-1.06057930
-2.49539997,-1.06057930
-2.49534997,-1.06057930
-2.49529997,-1.06057930
-2.49524997,-1.06057930
-2.49519997,-1.06057930
-2.49514997,-1.06057930
-2.49509997,-1.06057930
-2.49504997,-1.06057930
-2.49499997,-1.06057930
-2.49494997,-1.06057930
-2.49489997,-1.06057930
-2.49484997,-1.06057930
-2.49479997,-1.06057930
-2.49474997,-1.06057930
-2.49469997,-1.06057930
-2.49464997,-1.06057930
-2.49459997,-1.06057930
-2.49454997,-1.06057930
-2.49449997,-1.06057930
-2.49444997,-1.06057930
-2.49439997,-1.06057930
-2.49434997,-1.06057930
-2.49429997,-1.06057930
-2.49424997,-1.06057930
-2.49419997,-1.06057930
-2.49414997,-1.06057930
-2.49409997,-1.06057930
-2.49404997,-1.06057930
-2.49399997,-1.06057930
-2.49394997,-1.06057930
-2.49389997,-1.06057930
-2.49384997,-1.06057930
-2.49379997,-1.06057930
-2.49374997,-1.06057930
-2.49369997,-1.06057930
-2.49364997,-1.06057930
-2.49359997,-1.06057930
-2.49354997,-1.06057930
-2.49349997,-1.06057930
-2.49344997,-1.06057930
-2.49339997,-1.06057930
-2.49334997,-1.06057930
-2.49329997,-1.06057930
-2.49324997,-1.06057930
-2.49319997,-1.04226816
-2.49314997,-1.11539054
-2.49309997,-1.18851280
-2.49304997,-1.26157415
-2.49299997,-1.00570691
-2.49294997,-0.74983978
-2.49289997,-0.84121221
-2.49284997,-0.56709492
-2.49279997,-0.76815087
-2.49274997,-1.31638539
-2.49269997,-1.33469653
-2.49264997,-0.76815087
